"SheetName","CR","HUM","CL","CONST","Stringency","Mod","duration","Fed"
"AT1",-1,-1,-1,-1,-1,"Mod_1",21,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_1",8,"BUR"
"AT1",1,1,1,1,1,"Mod_1",18,"BUR"
"AT1",1,1,1,1,1,"Mod_1",13,"BUR"
"AT1",1,1,1,1,1,"Mod_1",14,"BUR"
"AT1",1,-1,1,1,1,"Mod_1",17,"BUR"
"AT1",1,1,1,1,1,"Mod_1",39,"BUR"
"AT1",1,1,1,1,-1,"Mod_1",52,"BUR"
"AT1",-1,-1,-1,1,-1,"Mod_1",7,"BUR"
"AT1",-1,-1,1,1,-1,"Mod_1",43,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_1",14,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_1",20,"BUR"
"AT1",1,1,1,1,1,"Mod_1",17,"BUR"
"AT1",1,-1,1,1,1,"Mod_1",2,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_1",30,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_1",14,"BUR"
"AT1",1,1,1,1,1,"Mod_1",7,"BUR"
"AT1",1,-1,-1,1,1,"Mod_1",45,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_1",18,"BUR"
"AT1",1,1,1,1,1,"Mod_1",28,"BUR"
"AT1",1,1,1,1,1,"Mod_1",2,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_1",22,"BUR"
"AT1",1,1,1,1,1,"Mod_1",21,"BUR"
"AT1",1,-1,-1,1,1,"Mod_1",21,"BUR"
"AT1",1,1,1,1,1,"Mod_1",24,"BUR"
"AT1",-1,-1,-1,1,-1,"Mod_1",21,"BUR"
"AT1",1,1,1,1,1,"Mod_1",10,"BUR"
"AT1",-1,-1,-1,1,-1,"Mod_1",47,"BUR"
"AT1",-1,1,-1,1,-1,"Mod_1",7,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_2",21,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_2",8,"BUR"
"AT1",1,1,1,1,1,"Mod_2",18,"BUR"
"AT1",1,1,1,1,1,"Mod_2",13,"BUR"
"AT1",1,1,-1,-1,1,"Mod_2",14,"BUR"
"AT1",1,1,1,1,1,"Mod_2",17,"BUR"
"AT1",1,1,1,-1,1,"Mod_2",39,"BUR"
"AT1",1,1,1,1,-1,"Mod_2",52,"BUR"
"AT1",-1,-1,-1,1,-1,"Mod_2",7,"BUR"
"AT1",-1,-1,1,1,-1,"Mod_2",43,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_2",14,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_2",20,"BUR"
"AT1",1,1,-1,-1,1,"Mod_2",17,"BUR"
"AT1",1,1,1,1,1,"Mod_2",2,"BUR"
"AT1",-1,1,1,-1,-1,"Mod_2",30,"BUR"
"AT1",-1,-1,-1,1,-1,"Mod_2",14,"BUR"
"AT1",1,1,1,1,1,"Mod_2",7,"BUR"
"AT1",-1,1,1,-1,1,"Mod_2",45,"BUR"
"AT1",-1,-1,1,-1,-1,"Mod_2",18,"BUR"
"AT1",1,-1,-1,-1,1,"Mod_2",28,"BUR"
"AT1",1,1,1,1,1,"Mod_2",2,"BUR"
"AT1",-1,-1,-1,-1,-1,"Mod_2",22,"BUR"
"AT1",1,1,1,1,1,"Mod_2",21,"BUR"
"AT1",1,1,1,1,1,"Mod_2",21,"BUR"
